keys	en
からだ	Body
顔	Face
髪	Hair
衣装	Costume
アイテム	Item
肌	Skin
目	Eyes
メイク	Makeup
眉毛	Eyebrows
髪	Hair
服1	Costume 1
服2	Costume 2
帽子1	Hat 1
帽子2	Hat 2
眼鏡1	Glasses 1
眼鏡2	Glasses 2
アイテム1	Item 1
アイテム2	Item 2
背中	Back Item
ベース	Base
目	Eyes
メイク	Makeup
髪型	Hair
服1	Costume 1
服2	Costume 2
帽子1	Hat 1
帽子2	Hat 2
眼鏡1	Glasses 1
眼鏡2	Glasses 2
眉毛	Eyebrows
眉毛 髪の上	Eyebrows on the Hair
前髪	Hair Front
後ろ髪	Hair Back
アイテム1	Item 1
アイテム2	Item 2
背中	Back Item
